№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
14;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;Продажа;Продажа;2026-01-02;2026-01-09;1;522;354;0;0;0;522;0;0;32,18;20,5;16,8;-15,38;-49,99;11,193;10,62;3;Перевыставление эквайринга;-59,17;-13,02;404,37;0;0;0;;;;0;0;;;Вайлдберриз Банк;210604;Красноярский край Красноярск улица Академика Павлова 54/1;;;Самара (Новосемейкино);Россия;Моно;;;"0104670157464770215?5<;)&U2CFWF�93Fxq2";38654515330;14023595118657101.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;10047190_14023595118657101;0;0;0;;0;0;;0
15;26415142;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-06;2026-01-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;34,5;2025-01-25;2025-03-26;;0;0;К клиенту при продаже;;;111378;Республика Мордовия рабочий посёлок Луховка Октябрьская улица 21;;;Котовск;Россия;Моно;;;0104670157464770215kFV>VfTWhbOD�933fD/;28006720930;8270818631570383820.0.0;0;;0;0;0;1,5;Нет;0;0;0;0;0;0;44984900_8270818631570383820;0;0;0;FBW, (МГТ, коробка);0;0;;0
16;26415142;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;Продажа;Продажа;2026-01-06;2026-01-09;1;522;379;0;0;0;522;0;0;27,39;20,5;16,8;-10,59;-29,5;3,55;1,52;0,4;Перевыставление эквайринга;-32,41;-7,13;413,47;0;0;0;;;;0;0;;;Вайлдберриз Банк;111378;Республика Мордовия рабочий посёлок Луховка Октябрьская улица 21;;;Котовск;Россия;Моно;;;0104670157464770215kFV>VfTWhbOD�933fD/;28006720930;8270818631570383820.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;44984900_8270818631570383820;0;0;0;;0;0;;0
17;0;;0;;;;;;;Хранение;2026-01-09;2026-01-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;cd6fd38995fbb82b3996206897125c7f87c4a2a7;0;;16,91;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
18;0;;0;;;;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-10;2026-01-10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,41;-0,09;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720930;8270818631570383820.0.0;0,5;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
19;0;;0;;;;;4670157464824;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-10;2026-01-10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,08;-0,24;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515762;25792638618728166.0.0;1,32;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
20;0;;0;;;;;;;Хранение;2026-01-10;2026-01-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;3f5e7ac12515f3a6458310766c15d20c7e50048b;0;;16,91;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
21;26415142;БАДы;254299021;BIXIRUN;4670157464831;Магний Цитрат 120 капсул;0;4670157464831;;Логистика;2026-01-10;2026-01-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46,4;2025-01-25;2025-03-26;;0;0;К клиенту при продаже;;;163124;Владимирская область Владимир Суздальский проспект 11А;;;Электросталь;Россия;Моно;;;0104670157464831215RhmA/meLnLiI�93Olwn;28006720110;5865686177184286605.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;59880173_5865686177184286605;0;0;0;FBW, (МГТ, коробка);0;0;;0
22;26415142;БАДы;254299021;BIXIRUN;4670157464831;Магний Цитрат 120 капсул;0;4670157464831;Продажа;Продажа;2026-01-10;2026-01-11;1;720;495;0;0;0;720;0;0;31,25;20,5;16,8;-14,45;-63,44;3,92;16,09;3,25;Перевыставление эквайринга;-66,66;-14,66;556,31;0;0;0;;;;0;0;;;Вайлдберриз Банк;163124;Владимирская область Владимир Суздальский проспект 11А;;;Электросталь;Россия;Моно;;;0104670157464831215RhmA/meLnLiI�93Olwn;28006720110;5865686177184286605.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;59880173_5865686177184286605;0;0;0;;0;0;;0
23;0;БАДы;254299021;BIXIRUN;4670157464831;Магний Цитрат 120 капсул;;4670157464831;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-11;2026-01-11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-11,86;-2,61;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720110;1005499;14,47;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
24;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-11;2026-01-11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,52;-0,34;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322307;4510710;1,86;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
25;0;;0;;;;;;;Хранение;2026-01-11;2026-01-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;290d7ca9cd462a2391a395d3fbe25b4b411652c5;0;;16,8;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
