№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
11;0;;0;;;;;;;Хранение;2026-01-03;2026-01-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;6ba1dee9a72dc77608e1374241cd003f9bad9da7;0;;17,32;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
12;29570986;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;0;4670227414995;;Логистика;2026-01-03;2026-01-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46,4;2025-06-05;2025-08-04;;0;0;К клиенту при продаже;;;138602;Московская область посёлок Электроизолятор 85;;;Электросталь;Россия;Моно;;;;35198454038;7403696188089561403.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;99099365_7403696188089561403;0;0;0;FBW, (МГТ, коробка);0;0;;0
13;29570986;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;0;4670227414995;Продажа;Продажа;2026-01-03;2026-01-04;1;1050;738;0;0;0;1050;0;0;29,71;13,5;11,07;-18,64;-139,55;25,381;22,14;3;Перевыставление эквайринга;-160,35;-35,28;886,11;0;0;0;;;;0;0;;;Вайлдберриз Банк;138602;Московская область посёлок Электроизолятор 85;;;Электросталь;Россия;Моно;;;;35198454038;7403696188089561403.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;99099365_7403696188089561403;0;0;0;;0;0;;0
14;0;;0;;;;;;Продажа;Возмещение за выдачу и возврат товаров на ПВЗ;2026-01-04;2026-01-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82;0;0;;-2,31;-0,51;0;0;0;0;;;;0;0;;;;212508;;;;;;;;;;38654515434;12547612118478509.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
15;0;;0;;;;;;Продажа;Возмещение за выдачу и возврат товаров на ПВЗ;2026-01-04;2026-01-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,97;0;0;;-2,43;-0,54;0;0;0;0;;;;0;0;;;;112927;;;;;;;;;;28006720930;8585759318934538898.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
16;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-04;2026-01-04;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-2,02;-0,44;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322301;4496080;2,46;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
17;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-04;2026-01-04;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-3,77;-0,83;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322305;4496081;4,6;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
18;0;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;;4670227414995;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-04;2026-01-04;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-17,71;-3,9;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198454038;4496227;21,61;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
19;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-04;2026-01-04;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-9,02;-1,99;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515274;7919013;11,01;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
20;0;;0;;;;;;;Хранение;2026-01-04;2026-01-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;2c8ed890f94a5fa67a44b79ff57531669cf853b4;0;;17,04;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
